"filename", "language", "XML", "JavaScript", "PHP", "HTML", "SCSS", "JSON", "CSS", "Markdown", "YAML", "comment", "blank", "total"
"d:\Mostafa\Dotworks App\resources\sass\user_panel\components\panel-wrapper\_panel-header.scss", "SCSS", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"d:\Mostafa\Dotworks App\resources\sass\user_panel\components\panel-wrapper\_panel-wrapper.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\Mostafa\Dotworks App\resources\views\admin\admins\management.blade.php", "PHP", 0, 0, 250, 0, 0, 0, 0, 0, 0, 2, 21, 273
"d:\Mostafa\Dotworks App\resources\views\admin\admins\permissions.blade.php", "PHP", 0, 0, 181, 0, 0, 0, 0, 0, 0, 2, 21, 204
"d:\Mostafa\Dotworks App\resources\views\admin\admins\roles.blade.php", "PHP", 0, 0, 194, 0, 0, 0, 0, 0, 0, 2, 21, 217
"d:\Mostafa\Dotworks App\resources\views\admin\auth\login.blade.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 8, 64
"d:\Mostafa\Dotworks App\resources\views\admin\dashboard.blade.php", "PHP", 0, 0, 551, 0, 0, 0, 0, 0, 0, 0, 2, 553
"d:\Mostafa\Dotworks App\resources\views\admin\layouts\app.blade.php", "PHP", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 21, 134
"d:\Mostafa\Dotworks App\resources\views\admin\layouts\layout.blade.php", "PHP", 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 5, 375
"d:\Mostafa\Dotworks App\resources\views\admin\services\categories.blade.php", "PHP", 0, 0, 220, 0, 0, 0, 0, 0, 0, 2, 22, 244
"d:\Mostafa\Dotworks App\resources\views\admin\services\management.blade.php", "PHP", 0, 0, 192, 0, 0, 0, 0, 0, 0, 1, 19, 212
"d:\Mostafa\Dotworks App\resources\views\admin\users\management.blade.php", "PHP", 0, 0, 309, 0, 0, 0, 0, 0, 0, 1, 19, 329
"d:\Mostafa\Dotworks App\resources\views\admin\users\permissions.blade.php", "PHP", 0, 0, 181, 0, 0, 0, 0, 0, 0, 2, 21, 204
"d:\Mostafa\Dotworks App\resources\views\admin\users\roles.blade.php", "PHP", 0, 0, 204, 0, 0, 0, 0, 0, 0, 2, 21, 227
"d:\Mostafa\Dotworks App\resources\views\auth\login.blade.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 13, 74
"d:\Mostafa\Dotworks App\resources\views\auth\passwords\confirm.blade.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 9, 50
"d:\Mostafa\Dotworks App\resources\views\auth\passwords\email.blade.php", "PHP", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"d:\Mostafa\Dotworks App\resources\views\auth\passwords\reset.blade.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 13, 66
"d:\Mostafa\Dotworks App\resources\views\auth\register.blade.php", "PHP", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 24, 171
"d:\Mostafa\Dotworks App\resources\views\auth\verify.blade.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\Mostafa\Dotworks App\resources\views\frontend\home.blade.php", "PHP", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 4, 197
"d:\Mostafa\Dotworks App\resources\views\frontend\includes\countries.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Mostafa\Dotworks App\resources\views\frontend\includes\footer.blade.php", "PHP", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 2, 126
"d:\Mostafa\Dotworks App\resources\views\frontend\includes\nav-content.blade.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Mostafa\Dotworks App\resources\views\frontend\includes\sidebar.blade.php", "PHP", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 3, 111
"d:\Mostafa\Dotworks App\resources\views\frontend\includes\usernav.blade.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"d:\Mostafa\Dotworks App\resources\views\frontend\layouts\app.blade.php", "PHP", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 14, 133
"d:\Mostafa\Dotworks App\resources\views\frontend\layouts\template.blade.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 9, 79
"d:\Mostafa\Dotworks App\resources\views\frontend\service.blade.php", "PHP", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 7, 238
"d:\Mostafa\Dotworks App\resources\views\frontend\service_order\order_complete.blade.php", "PHP", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 4, 167
"d:\Mostafa\Dotworks App\resources\views\frontend\service_order\order_information.blade.php", "PHP", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 3, 200
"d:\Mostafa\Dotworks App\resources\views\frontend\service_order\order_payment.blade.php", "PHP", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 4, 175
"d:\Mostafa\Dotworks App\resources\views\frontend\support\add-ticket.blade.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 45
"d:\Mostafa\Dotworks App\resources\views\frontend\support\index.blade.php", "PHP", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 2, 108
"d:\Mostafa\Dotworks App\resources\views\frontend\user.blade.php", "PHP", 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 2, 258
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\dashboard.blade.php", "PHP", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 4, 139
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\messages\contact.blade.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\messages\index.blade.php", "PHP", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 54
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\orders\deliver.blade.php", "PHP", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 2, 233
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\orders\index.blade.php", "PHP", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 2, 57
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\orders\show.blade.php", "PHP", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 3, 293
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\profile\edit_account.blade.php", "PHP", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 10, 99
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\profile\edit_languages.blade.php", "PHP", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 3, 121
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\profile\edit_profile.blade.php", "PHP", 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 17, 270
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\profile\edit_skills.blade.php", "PHP", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 4, 119
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\profile\edit_slides.blade.php", "PHP", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 10, 118
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\services\create.blade.php", "PHP", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 17, 307
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\services\edit.blade.php", "PHP", 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 14, 214
"d:\Mostafa\Dotworks App\resources\views\frontend\user_panel\services\index.blade.php", "PHP", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 60
