Date : 2022-04-12 23:18:06
Directory : d:\Mostafa\Dotworks App
Total : 355 files,  259810 codes, 68701 comments, 51591 blanks, all 380102 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Mostafa\Dotworks App\app\Http\Middleware\CheckForMaintenanceMode.php                                     | PHP        |          8 |          6 |          4 |         18 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\EncryptCookies.php                                              | PHP        |          8 |          6 |          4 |         18 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\LastActivity.php                                                | PHP        |         15 |          7 |          4 |         26 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\Localization.php                                                | PHP        |         14 |          6 |          5 |         25 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\RedirectIfAuthenticated.php                                     | PHP        |         15 |          8 |          5 |         28 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\TrimStrings.php                                                 | PHP        |         10 |          5 |          4 |         19 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\TrustProxies.php                                                | PHP        |          9 |         10 |          5 |         24 |
| d:\Mostafa\Dotworks App\app\Http\Middleware\VerifyCsrfToken.php                                             | PHP        |          8 |          6 |          4 |         18 |
| d:\Mostafa\Dotworks App\app\Http\Requests\Service\OrderPaymentRequest.php                                   | PHP        |         18 |         10 |          5 |         33 |
| d:\Mostafa\Dotworks App\app\Http\Requests\UpdateProfileRequest.php                                          | PHP        |         25 |         10 |          5 |         40 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Order\AskForFileResubmissionRequest.php                      | PHP        |         17 |         10 |          5 |         32 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Order\ConfirmDeliveryFilesRequest.php                        | PHP        |         19 |         10 |          5 |         34 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Order\FeedbackAsClientRequest.php                            | PHP        |         20 |         10 |          5 |         35 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Order\FeedbackAsProviderRequest.php                          | PHP        |         20 |         10 |          5 |         35 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Order\OrderResponseRequest.php                               | PHP        |         16 |         10 |          5 |         31 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Order\ShowDeliveryRequest.php                                | PHP        |         17 |         10 |          5 |         32 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Order\StartDeliveryRequest.php                               | PHP        |         17 |         10 |          5 |         32 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Service\DestroyServiceRequest.php                            | PHP        |         16 |         10 |          5 |         31 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Service\StoreServiceRequest.php                              | PHP        |         78 |         15 |         18 |        111 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\Service\UpdateServiceRequest.php                             | PHP        |         80 |         15 |         18 |        113 |
| d:\Mostafa\Dotworks App\app\Http\Requests\User\UserProfile\UpdateAccountRequest.php                         | PHP        |         27 |         10 |         10 |         47 |
| d:\Mostafa\Dotworks App\app\Models\Admin\Admin.php                                                          | PHP        |         21 |         15 |          9 |         45 |
| d:\Mostafa\Dotworks App\app\Models\Admin\AdminPermission.php                                                | PHP        |          9 |          0 |          4 |         13 |
| d:\Mostafa\Dotworks App\app\Models\Admin\AdminRole.php                                                      | PHP        |         12 |          0 |          6 |         18 |
| d:\Mostafa\Dotworks App\app\Models\Message.php                                                              | PHP        |         20 |          0 |          4 |         24 |
| d:\Mostafa\Dotworks App\app\Models\Order\Order.php                                                          | PHP        |         51 |          0 |          7 |         58 |
| d:\Mostafa\Dotworks App\app\Models\Order\OrderFile.php                                                      | PHP        |         14 |          0 |          7 |         21 |
| d:\Mostafa\Dotworks App\app\Models\Order\OrderState.php                                                     | PHP        |         15 |          0 |          7 |         22 |
| d:\Mostafa\Dotworks App\app\Models\Service\Category.php                                                     | PHP        |         25 |          0 |         11 |         36 |
| d:\Mostafa\Dotworks App\app\Models\Service\Service.php                                                      | PHP        |         27 |          0 |         13 |         40 |
| d:\Mostafa\Dotworks App\app\Models\Service\ServiceImage.php                                                 | PHP        |         31 |          0 |         13 |         44 |
| d:\Mostafa\Dotworks App\app\Models\Service\ServicePackage.php                                               | PHP        |         25 |          0 |          9 |         34 |
| d:\Mostafa\Dotworks App\app\Models\Service\ServicePackageOffer.php                                          | PHP        |         15 |          0 |          7 |         22 |
| d:\Mostafa\Dotworks App\app\Models\Service\ServiceState.php                                                 | PHP        |          9 |          0 |          6 |         15 |
| d:\Mostafa\Dotworks App\app\Models\User\Country.php                                                         | PHP        |          6 |          1 |          4 |         11 |
| d:\Mostafa\Dotworks App\app\Models\User\Invoice.php                                                         | PHP        |         31 |          0 |          7 |         38 |
| d:\Mostafa\Dotworks App\app\Models\User\User.php                                                            | PHP        |        164 |         33 |         74 |        271 |
| d:\Mostafa\Dotworks App\app\Models\User\UserImage.php                                                       | PHP        |          9 |          0 |          4 |         13 |
| d:\Mostafa\Dotworks App\app\Models\User\UserLanguage.php                                                    | PHP        |         15 |          0 |          6 |         21 |
| d:\Mostafa\Dotworks App\app\Models\User\UserPermission.php                                                  | PHP        |          9 |          0 |          6 |         15 |
| d:\Mostafa\Dotworks App\app\Models\User\UserRole.php                                                        | PHP        |         12 |          0 |          4 |         16 |
| d:\Mostafa\Dotworks App\app\Models\User\UserSkill.php                                                       | PHP        |         14 |          0 |          6 |         20 |
| d:\Mostafa\Dotworks App\app\Providers\AppServiceProvider.php                                                | PHP        |         15 |         12 |          5 |         32 |
| d:\Mostafa\Dotworks App\app\Providers\AuthServiceProvider.php                                               | PHP        |         13 |         12 |          6 |         31 |
| d:\Mostafa\Dotworks App\app\Providers\BroadcastServiceProvider.php                                          | PHP        |         12 |          5 |          5 |         22 |
| d:\Mostafa\Dotworks App\app\Providers\EventServiceProvider.php                                              | PHP        |         18 |         11 |          6 |         35 |
| d:\Mostafa\Dotworks App\app\Providers\RouteServiceProvider.php                                              | PHP        |         31 |         38 |         12 |         81 |
| d:\Mostafa\Dotworks App\app\Rules\ServicePriceValidate.php                                                  | PHP        |         17 |         18 |          8 |         43 |
| d:\Mostafa\Dotworks App\app\helpers.php                                                                     | PHP        |         21 |          1 |          5 |         27 |
| d:\Mostafa\Dotworks App\bootstrap\app.php                                                                   | PHP        |         17 |         30 |          9 |         56 |
| d:\Mostafa\Dotworks App\composer.json                                                                       | JSON       |         72 |          0 |          2 |         74 |
| d:\Mostafa\Dotworks App\composer.lock                                                                       | JSON       |      8,297 |          0 |          1 |      8,298 |
| d:\Mostafa\Dotworks App\config\app.php                                                                      | PHP        |         89 |        120 |         32 |        241 |
| d:\Mostafa\Dotworks App\config\auth.php                                                                     | PHP        |         41 |         70 |         13 |        124 |
| d:\Mostafa\Dotworks App\config\broadcasting.php                                                             | PHP        |         26 |         22 |         12 |         60 |
| d:\Mostafa\Dotworks App\config\cache.php                                                                    | PHP        |         53 |         34 |         18 |        105 |
| d:\Mostafa\Dotworks App\config\cors.php                                                                     | PHP        |          3 |         29 |          3 |         35 |
| d:\Mostafa\Dotworks App\config\database.php                                                                 | PHP        |         81 |         45 |         22 |        148 |
| d:\Mostafa\Dotworks App\config\datatables.php                                                               | PHP        |         32 |         73 |         18 |        123 |
| d:\Mostafa\Dotworks App\config\filesystems.php                                                              | PHP        |         29 |         42 |         15 |         86 |
| d:\Mostafa\Dotworks App\config\hashing.php                                                                  | PHP        |         12 |         32 |          9 |         53 |
| d:\Mostafa\Dotworks App\config\jwt.php                                                                      | PHP        |         26 |        235 |         44 |        305 |
| d:\Mostafa\Dotworks App\config\logging.php                                                                  | PHP        |         64 |         24 |         17 |        105 |
| d:\Mostafa\Dotworks App\config\mail.php                                                                     | PHP        |         45 |         47 |         18 |        110 |
| d:\Mostafa\Dotworks App\config\paypal.php                                                                   | PHP        |         24 |          4 |          3 |         31 |
| d:\Mostafa\Dotworks App\config\queue.php                                                                    | PHP        |         43 |         32 |         15 |         90 |
| d:\Mostafa\Dotworks App\config\services.php                                                                 | PHP        |         16 |         11 |          7 |         34 |
| d:\Mostafa\Dotworks App\config\session.php                                                                  | PHP        |         22 |        145 |         33 |        200 |
| d:\Mostafa\Dotworks App\config\view.php                                                                     | PHP        |         10 |         20 |          7 |         37 |
| d:\Mostafa\Dotworks App\config\voyager.php                                                                  | PHP        |         91 |        131 |         37 |        259 |
| d:\Mostafa\Dotworks App\database\Seeder\AdminPermissionSeeder.php                                           | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\AdminRolePermissionSeeder.php                                       | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\AdminRoleSeeder.php                                                 | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\CategorySeeder.php                                                  | PHP        |         30 |          5 |          3 |         38 |
| d:\Mostafa\Dotworks App\database\Seeder\DataRowsTableSeeder.php                                             | PHP        |        335 |         11 |         25 |        371 |
| d:\Mostafa\Dotworks App\database\Seeder\DataTypesTableSeeder.php                                            | PHP        |         53 |         11 |          6 |         70 |
| d:\Mostafa\Dotworks App\database\Seeder\DatabaseSeeder.php                                                  | PHP        |          9 |         29 |          4 |         42 |
| d:\Mostafa\Dotworks App\database\Seeder\MenuItemsTableSeeder.php                                            | PHP        |        160 |          5 |         13 |        178 |
| d:\Mostafa\Dotworks App\database\Seeder\MenusTableSeeder.php                                                | PHP        |         12 |          5 |          3 |         20 |
| d:\Mostafa\Dotworks App\database\Seeder\MessageSeeder.php                                                   | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\OrderSeeder.php                                                     | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\PermissionRoleTableSeeder.php                                       | PHP        |         15 |          5 |          5 |         25 |
| d:\Mostafa\Dotworks App\database\Seeder\PermissionsTableSeeder.php                                          | PHP        |         26 |          3 |          8 |         37 |
| d:\Mostafa\Dotworks App\database\Seeder\RolesTableSeeder.php                                                | PHP        |         21 |          3 |          4 |         28 |
| d:\Mostafa\Dotworks App\database\Seeder\ServiceSeeder.php                                                   | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\ServiceStateSeeder.php                                              | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\SettingsTableSeeder.php                                             | PHP        |        123 |         10 |         13 |        146 |
| d:\Mostafa\Dotworks App\database\Seeder\TranslationsTableSeeder.php                                         | PHP        |        170 |         39 |         23 |        232 |
| d:\Mostafa\Dotworks App\database\Seeder\UserPermissionSeeder.php                                            | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\UserRolePermissionSeeder.php                                        | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\Seeder\UserRoleSeeder.php                                                  | PHP        |          8 |          6 |          3 |         17 |
| d:\Mostafa\Dotworks App\database\data\languages.json                                                        | JSON       |        922 |          0 |          1 |        923 |
| d:\Mostafa\Dotworks App\database\factories\AdminPermissionFactory.php                                       | PHP        |          7 |          2 |          4 |         13 |
| d:\Mostafa\Dotworks App\database\factories\AdminRoleFactory.php                                             | PHP        |          7 |          2 |          4 |         13 |
| d:\Mostafa\Dotworks App\database\factories\AdminRolePermissionFactory.php                                   | PHP        |          7 |          2 |          4 |         13 |
| d:\Mostafa\Dotworks App\database\factories\CountryFactory.php                                               | PHP        |          7 |          2 |          4 |         13 |
| d:\Mostafa\Dotworks App\database\factories\InvoiceFactory.php                                               | PHP        |          7 |          2 |          4 |         13 |
| d:\Mostafa\Dotworks App\database\factories\MessageFactory.php                                               | PHP        |          7 |          2 |          4 |         13 |
